question,ground_truth,type,sources
What is the difference between a credit limit and the available credit on a credit card?,"A credit limit is the maximum amount of money that can be borrowed on a credit card, while available credit is the amount of money that can be spent before the credit limit is reached, which may be reduced by outstanding balances or fees.",general,
"What transaction fee does SBI Card charge for cash withdrawals at ATMs, and does the rate differ between domestic and international ATMs?","SBI Card charges a transaction fee of 2.5% of the transaction amount or Rs.500, whichever is higher, on cash withdrawals. This rate is the same for both domestic and international ATMs. All cash advances also carry a finance charge from the date of withdrawal until full payment.",single_document,data\SBI.pdf
"If a cardholder has a total amount due of ₹15,000 and incurs a late payment charge, what is the amount of the charge and what percentage of the over-limit amount would be charged if the cardholder also breaches their credit limit while availing PLCC?","The late payment charge for a total amount due of ₹15,000 is ₹900, since ₹15,000 falls in the ₹10,001–₹25,000 bracket. If the cardholder also breaches their credit limit while availing PLCC, an Over-Limit Fee of 2.5% of the over-limit amount (subject to a minimum of Rs 550) would be charged, except for ICICI Bank's Emeralde Card.",multi_hop,data\ICICI.pdf
"What is the annual fee for the SBI Card PRIME Advantage, and under what annual spending condition is it waived off?","The annual fee for the SBI Card PRIME Advantage is Rs. 2,999, and it is waived off on annual spends of Rs. 3 Lakh or more in the preceding year.",single_document,data\SBI.pdf
"In Illustration 2 of the YES BANK Credit Card MITC, what is the Minimum Amount Due (MAD), and what condition must be met for the account to become eligible for late fee assessment if payment is not received within the Due Date + Grace days?","In Illustration 2, the Minimum Amount Due (MAD) is INR 200 (against a Total Amount Due of INR 481). If payment is not received within the Due Date + Grace days, the account becomes eligible for late fee assessment only if the current outstanding balance (statement balance + unbilled new transactions, INR 981 in this illustration) exceeds the minimum balance of Rs.500 -- INR 500 is a separate eligibility threshold, not the MAD itself.",single_document,data\YES.pdf
What is the annual fee for the Doctor's SBI Card?,"1,499",single_document,data\SBI.pdf
"What is the minimum threshold amount for continuing the Term Deposit (TD) against which the 811 #DreamDifferent Card and Silk Inspire Card are issued, and how does this compare to the cumulative spending threshold for levying fees on Utility transactions for the YES Bank Ace card, per the Kotak Mahindra Bank and YES Bank policies?","Per the Kotak Mahindra Bank MITC, the minimum threshold for continuing the TD against which the 811 #DreamDifferent Card (for non-811 savings account customers) and Silk Inspire Card are issued is ₹10,000 (₹5,555 specifically for 811 savings account customers on the DreamDifferent card). Per the YES Bank MITC, the Ace card falls under the 'All other cards' category, which attracts a 1% Utility & Service Transaction Fee plus GST once cumulative Utility-category spends exceed ₹25,000 in the previous calendar month (capped at ₹5,000 per transaction). So the TD-continuation threshold (₹10,000) is lower than the Ace card's utility-fee-levy threshold (₹25,000).",cross_document,"data\YES.pdf, data\KOTAK.pdf"
What is the name of the document that contains the Most Important Terms and Conditions (MITC) applicable to Credit Card products of the Bank?,MITC v27 (Updated as of Feb 2026),single_document,data\CITY.pdf
What is the reward redemption fee charged when a customer initiates a redemption request for accumulated reward points on a YES BANK Credit Card?,INR 100 + applicable GST,single_document,data\YES.pdf
"According to the SBI Card MITC, what is the Rewards Redemption Fee and for which card is it not applicable?","SBI Card charges a Rewards Redemption Fee of Rs.99, applicable only on Physical products, Statement Credit, and on Vouchers that are sent physically. This fee is not applicable for the AURUM card. No redemption fee is charged if the card account is voluntarily closed on the fee posting date.",single_document,data\SBI.pdf
